name,price,url,img
EKRAR ЭКРАР,1 699,https://www.ikea.com/ru/ru/p/ekrar-ekrar-veshalka-belyy-60415596/,https://www.ikea.com/ru/ru/images/products/ekrar-veshalka-belyy__0710637_PE727670_S5.JPG?f=xxs
HEMNES ХЕМНЭС,4 999,https://www.ikea.com/ru/ru/p/hemnes-hemnes-veshalka-chernyy-30388919/,https://www.ikea.com/ru/ru/images/products/hemnes-veshalka-chernyy__0710635_PE727668_S5.JPG?f=xxs
SAMMANKOPPLA САММАНКОППЛА,2 499,https://www.ikea.com/ru/ru/p/sammankoppla-sammankoppla-veshalka-chernyy-00464288/,https://www.ikea.com/ru/ru/images/products/sammankoppla-veshalka-chernyy__0913785_PE783739_S5.JPG?f=xxs
TJUSIG ЧУСИГ,3 299,https://www.ikea.com/ru/ru/p/tjusig-chusig-veshalka-chernyy-30388924/,https://www.ikea.com/ru/ru/images/products/tjusig-chusig-veshalka-chernyy__0710643_PE727672_S5.JPG?f=xxs
TJUSIG ЧУСИГ,3 299,https://www.ikea.com/ru/ru/p/tjusig-chusig-veshalka-belyy-50388923/,https://www.ikea.com/ru/ru/images/products/tjusig-chusig-veshalka-belyy__0710636_PE727669_S5.JPG?f=xxs
